Time'QW   0'DW  10'DW  11'DW  12'DW  13'DW  14'DW  15'DW  16'DW  17'DW  90'DW  91'DW  92'DW 163'DW 165'DW 166'
 8: 5: 8,471'F53A'+01542'-00064'+00791'+07817'+07644'+00147'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
 8: 5: 8,741'F53A'+01544'-00064'+00791'+07817'+07642'+00146'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
 8: 5: 9, 12'F53A'+01545'-00064'+00791'+07817'+07644'+00146'+00252'+01519'+01872'+00000'+02121'+00277'+00277'+00277'
 8: 5: 9,267'F53A'+01547'-00064'+00791'+07817'+07644'+00146'+00252'+01519'+01872'+00000'+02121'+00277'+00277'+00277'
 8: 5: 9,522'F53A'+01548'-00064'+00791'+07817'+07642'+00146'+00252'+01519'+01872'+00000'+02121'+00277'+00277'+00277'
 8: 5: 9,793'F53A'+01549'-00064'+00791'+07817'+07644'+00145'+00252'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:10, 33'F53A'+01551'-00064'+00791'+07817'+07642'+00145'+00252'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:10,318'F53A'+01552'-00064'+00791'+07817'+07642'+00145'+00252'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:10,559'F53A'+01554'-00064'+00791'+07817'+07642'+00145'+00252'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:10,829'F53A'+01555'-00064'+00791'+07817'+07644'+00145'+00251'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:11,190'F53A'+01557'-00064'+00791'+07817'+07642'+00144'+00251'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:11,445'F53A'+01558'-00064'+00791'+07817'+07644'+00144'+00252'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:11,715'F53A'+01560'-00064'+00791'+07817'+07642'+00144'+00251'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:11,971'F53A'+01561'-00064'+00790'+07817'+07642'+00144'+00251'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:12,211'F53A'+01562'-00064'+00791'+07817'+07644'+00144'+00251'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:12,482'F53A'+01564'-00064'+00791'+07817'+07642'+00144'+00251'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:12,767'F53A'+01565'-00064'+00791'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:13, 52'F53A'+01567'-00064'+00790'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:13,293'F53A'+01568'-00064'+00788'+07817'+07644'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
