Адрес'A0.0'A0.1'A0.2'A0.3'A0.4'A0.5'A0.6'A0.7'A1.0'A1.1'A1.2'A1.3'A1.4'A1.5'A1.6'A1.7'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'
Имя'Z2'Z2R'Z1'Z1R'J'Z5'V1'V2'E1'E2'E3'M'F'D'H1'H2' DW10' DW11' DW12' DW13' DW14' DW15' DW16' DW17' DW90' DW91' DW92' DW163' DW165' DW166'
Комментарий'nasos 2 na linii 250 bar'nasos 2 na linii 200 bar'nasos 1 na linii 250 bar'nasos 1 na linii 200 bar'soedinenie nasosa 1 - nasosa 2'wspomogatelxnyj nasos 5 na linii'akkumulqtornaq batareq 1 na linii'akkumulqtornaq batareq 2 na linii'nazad puanson'snqtie prodwiveniq puansona'wkl.akkumulqtorow dlq prodwiv.puansona'wpered puanson - pressowanie'dekompressiq 0'zakrytx napolnitelxnyj klapan'zakrytx kontejner'otkrytx kontejner' poziciya pusnsona' poziciya kontejnera' poziciya nozha' poziciya zagr 1' poziciya zagr 2' davlenie gc' davlenie prizhima kontejnera' poziciya nk' rashod RSV7' rashod RSV5' rashod RSV6' vyhodnaya skorost petli os' rashod nasosa 2' rashod nasosa 1'
 8: 4:55,342'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01473'-00066'+00791'+07817'+07642'+00157'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:55,597'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01474'-00066'+00791'+07817'+07642'+00157'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:55,868'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01475'-00066'+00791'+07817'+07644'+00157'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:56,138'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01477'-00066'+00791'+07817'+07642'+00157'+00251'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:56,408'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01478'-00065'+00791'+07817'+07644'+00157'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:56,649'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01480'-00065'+00791'+07817'+07644'+00156'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:56,919'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01481'-00065'+00791'+07817'+07642'+00156'+00251'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:57,190'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01482'-00065'+00791'+07817'+07642'+00156'+00251'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:57,445'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01484'-00065'+00791'+07817'+07644'+00156'+00251'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:57,730'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01485'-00065'+00792'+07817'+07642'+00156'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
